title,genres,year
"Big Store, The",Comedy/Musical,1941
Whisky,Comedy/Drama,2004
Carrie,Drama/Horror,2002
Boccaccio '70,Comedy/Fantasy,1962
Frankenfish,Action/Comedy,2004
Who'S Your Daddy?,Comedy,2004
Control,Crime/Sci-Fi,2004
Life Is Sweet,Comedy/Drama,1990
Ride The Pink Horse,Drama/Film-Noir,1947
"Chant Of Jimmy Blacksmith, The",Drama,1978
Let Him Have It,Crime/Drama,1991
Guelwaar,Drama,1993
Alexandra'S Project,Drama/Thriller,2003
Clean,Drama,2004
"Delicate Art Of Parking, The",Comedy,2003
Wilson,Drama,1944
Blossoms In The Dust,Drama,1941
"Hitchhiker'S Guide To The Galaxy, The",Adventure/Comedy,2005
"Eiger Sanction, The",Action/Adventure,1975
It Started In Naples,Comedy/Drama,1960
Skin Game,Comedy/Romance,1971
Love Comes Softly,Drama/Romance,2003
"Amityville Horror, The",Horror/Thriller,2005
Mutant Aliens,Animation/Comedy,2001
Acts Of Worship,Drama,2001
Ike: Countdown To D-Day,Action/Adventure,2004
Cry Of The Banshee,Horror,1970
Phantom Lady,Crime/Film-Noir,1944
Act Of Violence,Drama/Film-Noir,1948
"Frisco Kid, The",Comedy/Western,1979
State Property 2,Action/Crime,2005
"Year Of The Yao, The",Documentary,2004
House Of D,Drama,2004
Palindromes,Adventure/Comedy,2004
Down And Derby,Children/Comedy,2005
"Wake In Providence, A",Comedy,1999
"Lot Like Love, A",Comedy/Drama,2005
King'S Ransom,Comedy/Crime,2005
"Game Of Their Lives, The",Drama,2005
Madison,Drama,2001
Enron: The Smartest Guys In The Room,Documentary,2005
Xxx: State Of The Union,Action/Crime,2005
Death Of A Dynasty,Comedy,2003
Kingdom Of Heaven,Action/Drama,2005
House Of Wax,Horror/Thriller,2005
Crash,Crime/Drama,2004
Jiminy Glick In La La Wood,Comedy/Mystery,2004
Mysterious Skin,Drama/Mystery,2004
Mischief,Comedy/Romance,1985
Jubal,Western,1956
Viva María!,Adventure/Comedy,1965
"Angry Silence, The",Drama,1960
Isadora,Drama,1968
San Francisco,Drama/Musical,1936
Erendira,Drama,1983
"Private Lives Of Elizabeth And Essex, The",Drama/Romance,1939
"Search, The",Drama/War,1948
On Borrowed Time,Comedy/Drama,1939
Kes,Drama,1969
"Human Comedy, The",Drama,1943
Vampire Hunter D,Animation/Fantasy,1985
Buying The Cow,Comedy/Romance,2002
"Cocoanuts, The",Comedy/Musical,1929
In The Time Of The Butterflies,Crime/Drama,2001
Road House,Drama/Film-Noir,1948
Edges Of The Lord,Drama/War,2001
"Fearless Freaks, The",Documentary/Musical,2005
Off The Map,Comedy/Drama,2003
"Tesseract, The",Action/Crime,2003
25 Watts,Comedy/Drama,2001
"Hiding Place, The",Drama/War,1975
"Keys Of The Kingdom, The",Drama,1944
"Adventurer, The",Comedy,1917
Crackerjack,Comedy,2002
Solino,Comedy/Drama,2002
Dear Wendy,Drama,2005
"List Of Adrian Messenger, The",Crime/Drama,1963
Los Angeles Plays Itself,Documentary,2003
Léolo,Comedy/Drama,1992
Ducktales: The Movie - Treasure Of The Lost Lamp,Adventure/Animation,1990
Babes In Arms,Comedy/Musical,1939
Star Wars: Episode Iii - Revenge Of The Sith,Action/Adventure,2005
Kicking & Screaming,Comedy,2005
Monster-In-Law,Comedy/Romance,2005
Agatha,Drama/Mystery,1979
Death Takes A Holiday,Fantasy/Romance,1934
Vodka Lemon,Comedy/Drama,2003
Deep Blue,Documentary,2003
"Invisible Woman, The",Comedy/Romance,1940
"Snow Walker, The",Adventure/Drama,2003
Carefree,Comedy/Musical,1938
9 Songs,Drama/Romance,2004
"Uninvited, The",Horror/Mystery,1944
Simon,Comedy/Drama,2004
December 7Th,Documentary/War,1943
Bataan,War,1943
Madagascar,Adventure/Animation,2005
Somersault,Drama,2004
11 Harrowhouse,Comedy/Crime,1974
Airborne,Adventure/Comedy,1993
Mad Hot Ballroom,Children/Documentary,2005
Tell Them Who You Are,Documentary,2004
Dominion: Prequel To The Exorcist,Horror/Thriller,2005
"Longest Yard, The",Comedy/Drama,2005
Saving Face,Comedy/Drama,2004
Most Wanted,Action/Thriller,1997
Cinderella Man,Drama/Romance,2005
"Sisterhood Of The Traveling Pants, The",Adventure/Comedy,2005
Lords Of Dogtown,Action/Comedy,2005
Rock School,Documentary,2005
Mr. & Mrs. Smith,Action/Adventure,2005
"Adventures Of Sharkboy And Lavagirl 3-D, The",Action/Adventure,2005
"Honeymooners, The",Comedy,2005
Parineeta,Drama/Musical,2005
Toto Le Héros,Drama,1991
Ladies In Lavender,Comedy/Drama,2004
It'S All Gone Pete Tong,Comedy/Drama,2004
Daybreak,Action/Drama,1993
When Trumpets Fade,Drama/War,1998
Anna And The King Of Siam,Drama/Romance,1946
Dirty Filthy Love,Drama/Romance,2004
Good Neighbor Sam,Comedy,1964
Eddie Izzard: Dress To Kill,Comedy,1999
Quo Vadis,Drama/Romance,1951
"Captain'S Paradise, The",Comedy,1953
Batman Begins,Action/Crime,2005
Aragami,Action/Fantasy,2003
"Perfect Man, The",Comedy/Drama,2005
My Summer Of Love,Drama/Romance,2004
Heights,Drama,2004
"Deal, The",Drama,2005
"Bridge Of San Luis Rey, The",Drama,2004
Saint Ralph,Comedy/Drama,2004
Herbie: Fully Loaded,Adventure/Comedy,2005
Yes,Drama,2004
Land Of The Dead,Action/Horror,2005
Bewitched,Comedy/Fantasy,2005
Rize,Documentary,2005
Home Movie,Documentary,2001
Becky Sharp,Drama/Romance,1935
"Trail Of The Lonesome Pine, The",Drama/Romance,1936
Me And You And Everyone We Know,Comedy/Drama,2005
Satan'S Little Helper,Comedy/Horror,2004
Somebody Up There Likes Me,Action/Crime,1956
"Unmarried Woman, An",Comedy/Drama,1978
"Racket, The",Crime/Drama,1951
"Member Of The Wedding, The",Drama,1952
Coronado,Action/Adventure,2003
Retrogade,Action/Adventure,2004
Trekkies 2,Documentary/Sci-Fi,2004
Man With The Screaming Brain,Adventure/Comedy,2005
Ulzana'S Raid,Adventure/Western,1972
Rabbit Test,Comedy,1978
"Adventures Of Mark Twain, The",Adventure/Drama,1944
Bordertown,Crime/Drama,1935
Cop And ½,Comedy,1993
Equinox,Drama/Mystery,1992
Father'S Little Dividend,Comedy/Romance,1951
For Pete'S Sake,Comedy,1974
Twenty Bucks,Comedy,1993
Deceived,Thriller,1991
Room Service,Comedy,1938
Desert Saints,Action/Thriller,2002
At The Circus,Comedy/Musical,1939
"Outfit, The",Crime/Drama,1973
Modigliani,Drama,2004
Broadway Melody Of 1940,Musical,1940
"I Inside, The",Fantasy/Mystery,2004
War Of The Worlds,Action/Adventure,2005
My Brilliant Career,Drama/Romance,1979
Gambit,Comedy/Crime,1966
Billion Dollar Brain,Drama/Thriller,1967
Julian Po,Comedy/Drama,1997
"God Who Wasn'T There, The",Documentary,2005
Black Belt Jones,Action/Comedy,1974
Rebound,Comedy,2005
The Inner Circle,Drama,1991
Dark Water,Drama/Horror,2005
Fantastic Four,Action/Adventure,2005
Murderball,Documentary,2005
Saraband,Drama,2003
Julie Johnson,Drama,2001
Wedding Crashers,Comedy/Romance,2005
Happy Endings,Comedy/Drama,2005
C.H.O.M.P.S.,Comedy/Sci-Fi,1979
"Hindenburg, The",Drama/Thriller,1975
Staying Together,Comedy/Drama,1989
Twin Sitters,Thriller,1994
Conflict,Drama/Film-Noir,1945
"Generale Della Rovere, Il",Drama,1959
Rick,Comedy/Drama,2003
No Blade Of Grass,Drama/Sci-Fi,1970
"Time To Love And A Time To Die, A",Drama/Romance,1958
"Big Sky, The",Drama/Western,1952
Fighter In The Wind,Action/Drama,2004
Hustle & Flow,Crime/Drama,2005
Hardware,Action/Horror,1990
"Appaloosa, The",Western,1966
Journey Into Fear,Drama/Film-Noir,1943
"Calcium Kid, The",Comedy,2004
Funny Ha Ha,Comedy/Drama,2002
"Island, The",Action/Sci-Fi,2005
Bad News Bears,Children/Comedy,2005
"Devil'S Rejects, The",Action/Crime,2005
Last Days,Drama,2005
November,Drama/Mystery,2004
Sky High,Action/Adventure,2005
Stealth,Action/Adventure,2005
Must Love Dogs,Comedy/Romance,2005
"Aristocrats, The",Comedy/Documentary,2005
Twice In A Lifetime,Drama,1985
Georgy Girl,Comedy,1966
This Is My Life,Comedy/Drama,1992
The Music Lovers,Drama,1970
Kiss And Make-Up,Comedy/Musical,1934
Dust Devil,Horror/Mystery,1992
"Order, The",Action/Adventure,2001
Serenity,Action/Adventure,2005
End Of Suburbia: Oil Depletion And The Collapse Of The American Dream,Documentary,2004
Let'S Get Lost,Documentary/Musical,1988
"Talent Given Us, The",Comedy/Drama,2004
Sholay,Action/Adventure,1975
Broken Flowers,Comedy/Drama,2005
Miracles - Mr. Canton And Lady Rose,Action/Comedy,1989
Hum Dil De Chuke Sanam,Drama/Romance,1999
Baby Face,Drama,1933
"Star, The",Drama,1952
"Browning Version, The",Drama,1951
"Heart Is Deceitful Above All Things, The",Drama,2004
Man-Thing,Action/Horror,2005
Berserk,Horror/Mystery,1967
"Dukes Of Hazzard, The",Action/Adventure,2005
The Chumscrubber,Comedy/Drama,2005
Secuestro Express,Action/Drama,2004
Junebug,Comedy/Drama,2005
Deuce Bigalow: European Gigolo,Comedy,2005
"Skeleton Key, The",Drama/Horror,2005
Four Brothers,Action/Crime,2005
The Great Raid,Action/Drama,2005
Asylum,Romance/Thriller,2005
Pretty Persuasion,Comedy/Drama,2005
Grizzly Man,Documentary,2005
"Girl In The Café, The",Drama/Romance,2005
"24Th Day, The",Drama/Thriller,2004
Prime Cut,Action/Crime,1972
"Best Of Everything, The",Drama/Romance,1959
Summer Magic,Children/Comedy,1963
"Three Stooges Meet Hercules, The",Comedy/Fantasy,1962
Race With The Devil,Action/Horror,1975
Acacia,Horror,2003
One Point O,Drama/Mystery,2004
My Date With Drew,Comedy/Documentary,2004
Private Resort,Comedy,1985
Pusher Ii: With Blood On My Hands,Action/Crime,2004
Duma,Adventure/Drama,2005
Bitter Victory,Action/Drama,1957
Doomed To Die,Crime/Drama,1940
Animal Farm,Animation/Drama,1954
Winter Soldier,Documentary/War,1972
"Third Wheel, The",Comedy/Romance,2002
Teen Witch,Comedy,1989
"Last Of Mrs. Cheyney, The",Comedy/Drama,1937
Koti-Ikävä,Drama,2005
Cast A Deadly Spell,Comedy/Fantasy,1991
Movie Movie,Comedy/Musical,1978
"Teahouse Of The August Moon, The",Comedy,1956
Black,Drama,2005
"40-Year-Old Virgin, The",Comedy/Romance,2005
Toolbox Murders,Horror/Mystery,2004
Red Eye,Horror/Thriller,2005
Lightning Bug,Drama/Horror,2004
Man Of The West,Western,1958
Main Hoon Na,Action/Comedy,2004
Dilwale Dulhania Le Jayenge,Comedy/Musical,1995
Dreamchild,Drama/Fantasy,1985
My Cousin Rachel,Drama/Mystery,1952
"Key, The",Drama/Romance,1958
Strings,Adventure/Fantasy,2004
Kin-Dza-Dza!,Comedy/Drama,1986
Supercross,Action,2005
Valiant,Adventure/Animation,2005
"Brothers Grimm, The",Comedy/Fantasy,2005
"Desperadoes, The",Romance/Western,1943
Black Dragons,Mystery/Thriller,1942
"Baxter, The",Comedy/Drama,2005
"Cave, The",Action/Adventure,2005
Undiscovered,Comedy/Drama,2005
Dirty Deeds,Comedy,2005
"Constant Gardener, The",Drama/Thriller,2005
Transporter 2,Action/Crime,2005
Margaret Cho: Assassin,Comedy,2005
Just Like Heaven,Comedy/Fantasy,2005
Proof,Drama,2005
Lord Of War,Action/Crime,2005
Venom,Horror/Thriller,2005
Everything Is Illuminated,Comedy/Drama,2005
Thumbsucker,Comedy/Drama,2005
"Thing About My Folks, The",Comedy,2005
Hellbent,Horror/Thriller,2004
G,Drama/Romance,2002
In Old Chicago,Action/Drama,1937
Now And Forever,Drama/Romance,1934
L.A. Without A Map,Comedy/Drama,1998
Where Angels Fear To Tread,Drama,1991
Family Guy Presents Stewie Griffin: The Untold Story,Adventure/Animation,2005
Born In Flames,Comedy/Drama,1983
Revenge Of The Ninja,Action/Drama,1983
Sometimes In April,Drama/War,2005
Bookies,Comedy/Crime,2003
Angel In My Pocket,Comedy,1969
International House,Comedy,1933
"Edge Of The World, The",Drama/Romance,1937
Golden Boy,Drama,1939
Go West,Comedy/Musical,1940
Why We Fight,Documentary,2005
Will Penny,Romance/Western,1968
200 Motels,Comedy/Musical,1971
Gertrud,Drama,1964
Kitty Foyle,Drama/Romance,1940
Doom,Action/Horror,2005
Domino,Crime/Drama,2005
Waiting...,Comedy,2005
Aeon Flux,Action/Sci-Fi,2005
Frankenstein 90,Comedy/Horror,1984
Wedlock,Action/Crime,1991
"Unfinished Life, An",Drama,2005
"Man, The",Action/Comedy,2005
Survive Style 5+,Fantasy/Mystery,2004
Woyzeck,Drama,1979
It'S A Gift,Comedy,1934
Zozo,Drama,2005
Blue Hill Avenue,Crime/Drama,2001
Chapter Two,Comedy/Drama,1979
16 Years Of Alcohol,Drama,2003
"Exorcism Of Emily Rose, The",Crime/Drama,2005
Flightplan,Action/Drama,2005
Corpse Bride,Animation/Comedy,2005
"History Of Violence, A",Action/Crime,2005
Oliver Twist,Drama,2005
"Greatest Game Ever Played, The",Drama,2005
Capote,Crime/Drama,2005
"Story Of Vernon And Irene Castle, The",Musical/Romance,1939
"Anderson Tapes, The",Crime/Drama,1971
Final Fantasy Vii: Advent Children,Action/Adventure,2004
Roll Bounce,Comedy/Drama,2005
Daltry Calhoun,Comedy/Drama,2005
Into The Blue,Action/Adventure,2005
"Prize Winner Of Defiance Ohio, The",Drama,2005
Mirrormask,Adventure/Children,2005
Kwik Stop,Comedy/Drama,2001
Innocence,Drama/Fantasy,2004
4,Drama,2005
Book Of Love,Comedy/Drama,2004
American Yakuza,Action/Drama,1993
Madhouse,Horror/Thriller,2004
Man To Man,Drama,2005
Münchhausen,Adventure/Comedy,1943
Medea,Drama,1988
Wallace & Gromit In The Curse Of The Were-Rabbit,Adventure/Animation,2005
Kiss Kiss Bang Bang,Comedy/Crime,2005
"All This, And Heaven Too",Drama/Romance,1940
Bubble,Crime/Drama,2006
Darwin'S Nightmare,Documentary,2004
Beowulf & Grendel,Action/Adventure,2005
No Direction Home: Bob Dylan,Documentary,2005
Hail The Conquering Hero,Comedy,1944
Forty Shades Of Blue,Drama,2005
Touch The Sound: A Sound Journey With Evelyn Glennie,Documentary,2004
Angels In America,Drama/Fantasy,2003
Speak,Drama,2004
"Wraith, The",Action/Horror,1986
Factotum,Drama,2005
Sweet Movie,Comedy/Drama,1974
By Dawn'S Early Light,Action/Drama,1990
Don'T Come Knocking,Drama/Western,2005
Bullets Or Ballots,Crime/Drama,1936
In Her Shoes,Comedy/Drama,2005
55 Days At Peking,Drama/War,1963
Dead & Breakfast,Comedy/Horror,2004
Freeze Frame,Crime/Drama,2004
Punishment Park,Drama/Thriller,1971
"Mating Game, The",Comedy/Romance,1959
"Squid And The Whale, The",Comedy/Drama,2005
Two For The Money,Drama,2005
Separate Lies,Drama/Romance,2005
Fjorton Suger,Drama/Romance,2004
Star Wreck: In The Pirkinning,Action/Comedy,2005
Evelyn Prentice,Drama/Mystery,1934
Brokeback Mountain,Drama/Romance,2005
Blue Vinyl,Documentary,2002
Elizabethtown,Comedy/Drama,2005
North Country,Drama,2005
Leila,Drama/Romance,1996
"Good Night, And Good Luck.",Crime/Drama,2005
Li'L Abner,Comedy/Musical,1959
Dreamer: Inspired By A True Story,Children/Drama,2005
Detective Story,Crime/Drama,1951
"Proposition, The",Crime/Drama,2005
"Gospel, The",Drama,2005
Dandelion,Drama,2004
C.S.A.: The Confederate States Of America,Comedy/Drama,2004
"Fog, The",Action/Horror,2005
Loggerheads,Drama,2005
Left Behind: World At War,Drama,2005
Protocols Of Zion,Documentary,2005
Living 'Til The End,Drama,2005
Shopgirl,Comedy/Drama,2005
Kids In America,Comedy/Drama,2005
Where The Truth Lies,Drama/Thriller,2005
Emmanuel'S Gift,Documentary,2005
Stay,Thriller,2005
Confess,Drama/Thriller,2005
"Legend Of Zorro, The",Action/Adventure,2005
New York Doll,Documentary,2005
"Weather Man, The",Comedy/Drama,2005
Saw Ii,Horror/Thriller,2005
Prime,Comedy/Drama,2005
Will Success Spoil Rock Hunter?,Comedy/Romance,1957
"Race For Your Life, Charlie Brown",Adventure/Animation,1977
Jerusalem,Drama,1996
Teorema,Drama,1968
Little Fish,Crime/Drama,2005
Champion,Drama/Film-Noir,1949
Tarzan The Ape Man,Action/Adventure,1932
Tarzan And His Mate,Action/Adventure,1934
Midnight Lace,Mystery/Thriller,1960
Mahogany,Drama/Romance,1975
Nordkraft,Crime/Drama,2005
Manderlay,Drama,2005
Week-End In Havana,Comedy/Musical,1941
Nine Lives,Drama,2005
South Central,Action/Crime,1992
Damnation Alley,Drama/Sci-Fi,1977
"Bridges At Toko-Ri, The",Drama/Romance,1954
Aprile,Comedy,1998
"Gore Gore Girls, The",Comedy/Horror,1972
Revolver,Crime/Drama,2005
Wild Zero,Action/Comedy,2000
Everything Put Together,Drama,2000
Jarhead,Action/Drama,2005
Siblings,Comedy,2004
Chicken Little,Action/Adventure,2005
Romance & Cigarettes,Comedy/Drama,2005
Al Otro Lado,Drama,2004
Dead Man'S Shoes,Crime/Thriller,2004
Brides Of Dracula,Horror,1960
"Stratton Story, The",Drama/Romance,1949
"House That Dripped Blood, The",Horror/Mystery,1971
"Gorgon, The",Fantasy/Horror,1964
Night Of The Lepus,Horror/Sci-Fi,1972
Highball,Comedy/Drama,1997
Get Rich Or Die Tryin',Action/Crime,2005
Just Friends,Comedy/Romance,2005
Syriana,Drama/Thriller,2005
Calamari Union,Comedy,1985
Derailed,Drama/Thriller,2005
Creep,Horror/Thriller,2004
Pride & Prejudice,Drama/Romance,2005
Keep Your Distance,Drama/Mystery,2005
Hi-Life,Comedy/Romance,1998
Wolf Creek,Crime/Horror,2005
"Descent, The",Adventure/Drama,2005
Takeshis',Comedy/Drama,2005
Forty Guns,Drama/Western,1957
Harry Potter And The Goblet Of Fire,Adventure/Fantasy,2005
Dinner With Friends,Comedy/Drama,2001
Walk The Line,Drama/Musical,2005
Rent,Drama/Musical,2005
Zathura,Action/Adventure,2005
C.R.A.Z.Y.,Drama,2005
Lonesome Jim,Drama/Romance,2005
Our Vines Have Tender Grapes,Drama,1945
Sarah Silverman: Jesus Is Magic,Comedy/Musical,2005
Bee Season,Drama,2005
Breakfast On Pluto,Comedy/Drama,2005
"Ice Harvest, The",Action/Comedy,2005
"Yours, Mine And Ours",Comedy/Romance,2005
In The Mix,Comedy/Crime,2005
"Libertine, The",Drama,2004
First Descent,Documentary,2005
"Wild Geese, The",Action/Adventure,1978
Hondo,Western,1953
"Good Woman, A",Comedy/Drama,2004
"Evil Of Frankenstein, The",Horror,1964
"Driver, The",Action/Crime,1978
Mondovino,Documentary,2004
Sounder,Drama,1972
Match Point,Crime/Drama,2005
Ziegfeld Follies,Comedy/Musical,1945
Lorna,Drama,1964
"Deep, The",Adventure/Horror,1977
"Dying Gaul, The",Drama/Romance,2005
After Innocence,Crime/Documentary,2005
"Citadel, The",Drama,1938
Beyond The Gates Of Splendor,Documentary,2002
"Southern Yankee, A",Comedy/War,1948
Paradise Now,Crime/Drama,2005
"Kid & I, The",Comedy,2005
"Chronicles Of Narnia: The Lion, The Witch And The Wardrobe, The",Adventure/Children,2005
King Kong,Action/Adventure,2005
Memoirs Of A Geisha,Drama/Romance,2005
"Family Stone, The",Comedy/Drama,2005
Kiss Of Death,Crime/Drama,1947
Where Were You When The Lights Went Out?,Comedy,1968
Havoc,Crime/Drama,2005
Mother India,Drama/Musical,1957
"Room For Romeo Brass, A",Comedy/Drama,1999
"Matador, The",Comedy/Drama,2005
Look Both Ways,Drama/Romance,2005
Wal-Mart: The High Cost Of Low Price,Documentary,2005
7 Seconds,Action/Crime,2005
8 Million Ways To Die,Action/Adventure,1986
Beyond The Forest,Drama/Film-Noir,1949
Phffft,Comedy/Romance,1954
Mozart And The Whale,Comedy/Drama,2005
"Organization, The",Crime/Drama,1971
Cinderella Liberty,Drama/Romance,1973
Knute Rockne All American,Drama,1940
Address Unknown,Drama/War,2001
They Died With Their Boots On,Drama/Romance,1941
"Three Burials Of Melquiades Estrada, The",Adventure/Crime,2006
House Of Strangers,Drama/Film-Noir,1949
Lili,Drama/Musical,1953
"Ambushers, The",Comedy/Sci-Fi,1967
Munich,Action/Crime,2005
"Producers, The",Comedy/Musical,2005
Transamerica,Adventure/Comedy,2005
Rumor Has It...,Comedy/Drama,2005
Cheaper By The Dozen 2,Adventure/Comedy,2005
Fun With Dick And Jane,Comedy/Crime,2005
"Ringer, The",Comedy,2005
Casanova,Action/Adventure,2005
Mrs. Henderson Presents,Comedy/Drama,2005
"White Countess, The",Drama,2005
Dirty Love,Comedy/Romance,2005
Abouna,Drama,2002
Richard Pryor: Live In Concert,Comedy/Documentary,1979
Kevin & Perry Go Large,Comedy,2000
"Debutantes, Los",Crime/Drama,2003
Luxo Jr.,Animation/Children,1986
Keeping Mum,Comedy/Crime,2005
Paheli,Drama/Fantasy,2005
"Goodnight, Mister Tom",Drama,1999
"Dentist, The",Horror/Thriller,1996
Familia,Comedy,1996
How To Irritate People,Comedy,1969
Threads,Drama/Sci-Fi,1984
Yamakasi - Les Samouraïs Des Temps Modernes,Action/Crime,2001
Love'S Enduring Promise,Drama/Romance,2004
After Midnight,Horror/Thriller,1989
"New World, The",Adventure/Drama,2005
"When You Comin' Back, Red Ryder?",Drama,1979
Christmas In Connecticut,Comedy/Romance,1945
She,Adventure/Fantasy,1935
Passport To Pimlico,Comedy,1949
Whisky Galore,Comedy/Crime,1949
A Run For Your Money,Comedy,1949
"Master Of Ballantrae, The",Adventure,1953
7 Faces Of Dr. Lao,Fantasy/Mystery,1964
Lies My Father Told Me,Children/Drama,1975
A.K.,Documentary,1985
"Boys Of Baraka, The",Documentary,2005
Grand Theft Parsons,Comedy/Drama,2003
Devil'S Pond,Drama/Thriller,2003
"Cross Of Lorraine, The",Drama/War,1943
"Cutting Edge: The Magic Of Movie Editing, The",Documentary,2004
"Quiller Memorandum, The",Action/Drama,1966
49Th Parallel,Adventure/Drama,1941
Yesterday,Drama,2004
Penelope,Comedy/Crime,1966
Ted Bundy,Crime/Drama,2002
Bloodrayne,Action/Fantasy,2005
Hostel,Horror,2005
Grandma'S Boy,Comedy,2006
Tristan & Isolde,Drama/Romance,2006
Glory Road,Drama,2006
Last Holiday,Comedy,2006
Hoodwinked!,Animation/Children,2005
April'S Shower,Comedy/Romance,2003
Underworld: Evolution,Action/Fantasy,2006
Looking For Comedy In The Muslim World,Comedy,2005
Casper Meets Wendy,Adventure/Children,1998
Hell Drivers,Drama,1957
Buried Alive,Film-Noir/Horror,1990
Hallelujah!,Drama/Musical,1929
Cul-De-Sac,Comedy/Crime,1966
Revolution,Adventure/Drama,1985
"Woman'S Face, A",Drama/Thriller,1941
Sword Of Gideon,Action/Drama,1986
Little Manhattan,Children/Comedy,2005
Fingersmith,Crime/Drama,2005
Vinci,Comedy/Crime,2004
"Dunwich Horror, The",Horror,1970
"Quatermass Xperiment, The",Horror/Mystery,1955
Hellraiser: Hellseeker,Horror,2002
Inside Daisy Clover,Drama,1965
Over The Edge,Crime/Drama,1979
Swamp Women,Adventure/Crime,1956
8Mm 2,Drama/Mystery,2005
Thoughtcrimes,Action/Crime,2003
Water,Drama/Romance,2005
"Temptations, The",Drama/Musical,1998
"Big House, The",Drama/Thriller,1930
"World'S Fastest Indian, The",Drama,2005
Bandidas,Action/Comedy,2006
Made In Britain,Crime/Drama,1982
Tristram Shandy: A Cock And Bull Story,Comedy/Drama,2005
"Bitter Tea Of General Yen, The",Drama/Romance,1933
Charlie: The Life And Art Of Charles Chaplin,Documentary,2003
Wilby Wonderful,Drama,2004
Helter Skelter,Action/Crime,2004
Annapolis,Drama,2006
Big Momma'S House 2,Action/Comedy,2006
Nanny Mcphee,Children/Comedy,2005
Sweet November,Drama,1968
Double Dare,Documentary,2004
"Dark, The",Horror/Mystery,2005
Panic In Year Zero!,Horror/Sci-Fi,1962
Here Comes The Groom,Comedy/Musical,1951
Julie,Thriller,1956
Tea For Two,Comedy/Musical,1950
Green Dolphin Street,Adventure/Drama,1947
"Lt. Robin Crusoe, U.S.N.",Adventure/Comedy,1966
Bye Bye Birdie,Comedy/Musical,1963
"Comedians Of Comedy, The",Comedy/Documentary,2005
"Honey Pot, The",Comedy/Crime,1967
"Tuskegee Airmen, The",Drama/War,1995
Final Destination 3,Horror/Mystery,2006
I Could Go On Singing,Drama/Musical,1963
Something New,Comedy/Drama,2006
Free Money,Comedy/Crime,1998
"Wind, The",Drama/Western,1928
Madame Curie,Drama,1943
Orfeu,Crime/Drama,1999
Imagine Me & You,Comedy/Drama,2005
Place Vendôme,Crime/Drama,1998
Broken Lance,Drama/Romance,1954
"Four Horsemen Of The Apocalypse, The",Drama/Romance,1921
Sabah,Comedy/Drama,2005
"Call Of Cthulhu, The",Horror/Thriller,2005
"Pink Panther, The",Adventure/Comedy,2006
Troll,Comedy/Fantasy,1986
"Business, The",Action/Comedy,2005
Curious George,Adventure/Animation,2006
Firewall,Crime/Drama,2006
"Great Mcginty, The",Comedy,1940
Le Créateur,Comedy,1999
"White Diamond, The",Documentary,2004
Tony Takitani,Drama,2004
When A Stranger Calls,Horror/Thriller,2006
Tamara,Fantasy/Horror,2005
London,Drama,2005
Neil Young: Heart Of Gold,Documentary/Musical,2006
Freedomland,Crime/Drama,2006
Winter Passing,Drama,2005
Eight Below,Action/Adventure,2006
Date Movie,Comedy/Romance,2006
Running Scared,Action/Crime,2006
Tyler Perry'S Madea'S Family Reunion,Comedy/Drama,2006
Doogal,Animation/Children,2006
Ultraviolet,Action/Fantasy,2006
Just My Luck,Comedy/Romance,2006
Pulse,Action/Drama,2006
Deep Sea 3D,Documentary/IMAX,2006
16 Blocks,Crime/Thriller,2006
Bongwater,Comedy/Romance,1997
Trauma,Horror/Mystery,1993
Half Light,Romance/Thriller,2006
Twist Of Faith,Documentary,2004
Failure To Launch,Comedy/Romance,2006
Ultimate Avengers,Action/Animation,2006
Ice Age 2: The Meltdown,Adventure/Animation,2006
All Quiet On The Western Front,Action/Drama,1979
"Big White, The",Comedy/Crime,2005
Stromboli,Drama,1950
Cyrano De Bergerac,Drama/Romance,1950
Shinobi: Heart Under Blade,Action/Drama,2005
Chronos,Documentary/IMAX,1985
Five Children And It,Adventure/Children,2004
Free Zone,Drama/War,2005
"Naked Spur, The",Western,1953
"Prince & Me Ii: The Royal Wedding, The",Comedy/Romance,2006
Ask The Dust,Drama/Romance,2006
V For Vendetta,Action/Sci-Fi,2006
She'S The Man,Comedy/Romance,2006
Thank You For Smoking,Comedy/Drama,2006
Find Me Guilty,Comedy/Crime,2006
Inside Man,Crime/Drama,2006
Tsotsi,Crime/Drama,2005
Aquamarine,Children/Comedy,2006
"Illustrated Man, The",Sci-Fi,1969
Leprechaun 2,Comedy/Fantasy,1994
Leprechaun 3,Comedy/Fantasy,1995
Leprechaun 4: In Space,Comedy/Fantasy,1997
Leprechaun In The Hood,Action/Comedy,2000
"Dark At The Top Of The Stairs, The",Drama,1960
"Man Who Sued God, The",Comedy/Drama,2001
Kummeli Stories,Comedy,1995
Stranger On The Third Floor,Drama/Film-Noir,1940
"Hills Have Eyes, The",Drama/Horror,2006
"Shaggy Dog, The",Adventure/Children,2006
"Personal Journey With Martin Scorsese Through American Movies, A",Documentary,1995
Inspector Clouseau,Comedy/Crime,1968
Son Of The Pink Panther,Comedy,1993
Unknown White Male,Documentary,2005
Fatty Drives The Bus,Comedy,1999
"Goodbye, South, Goodbye",Crime/Drama,1996
Nanook Of The North,Documentary/Drama,1922
Resurrection,Drama/Fantasy,1980
Go Tell The Spartans,Drama/War,1978
They Call Me Mister Tibbs!,Crime/Drama,1970
